Student_ID,Student_Name,Grade,Section,Maths,Computer_Science,English,Tamil,Physics,Chemistry,Total_Marks,Percentage,Grade.1,Pass/Fail,WhatsApp_Time,Insta_Reel_Freq,YouTube_Entertainment,Study_Time,Call_Chat_Time,Productivity_Score,Total_Social_Media
1001,Lynn Bentley,12,C,76,80,62,76,65,53,330,72.69320647,Proficient,Fail,3.595932139,0.510345221,3.303789716,3.692175777,0.5,42.51871192,9.084142653
1002,John Thomas,12,B,86,71,52,78,47,75,472,61.57615324,Excellent,Pass,1.560213233,0.870122569,2.948325714,3.712259875,0.72997277,18.96167769,8.108993595
1003,Daniel Hamilton,11,B,60,66,60,100,61,50,329,68.92634482,Proficient,Pass,1.540861674,0,2.647454187,1.612450442,3.13987443,16.09891968,8.7115807
1004,Gail Evans,11,B,82,80,100,88,78,77,428,58.9409181,Ideal,Pass,2.069409055,3.488479307,2.408441923,3.886212036,1.91712003,39.23190456,11.46323096
1005,Madeline Jones,11,C,66,84,70,62,56,46,352,68.76160491,Proficient,Pass,3.343476879,4.483384752,2.506231222,6,3.828290215,26.77250516,11.99960388
1006,Ryan Simon,11,C,89,40,99,35,46,67,363,78.80713684,Difficult,Pass,2.843783769,2.435792992,2.62721161,1,1.362915211,31.89033897,6.103008426
1007,Nicholas Hernandez,12,C,49,91,61,80,65,75,383,70.95371782,Excellent,Fail,3.262654524,3.275282356,1.111352983,3.062211993,1.918979507,48.30805739,10.5973177
1008,Michael Reyes,11,C,97,72,40,92,77,66,385,76.09551426,Difficult,Fail,4.253662549,4.432213808,3.47795967,3.051111195,3.584550151,21.3465893,10.26104422
1009,Nicholas Hernandez,12,A,65,68,72,55,67,59,321,73.77290747,Ideal,Pass,4.412272374,2.726578433,3.067079533,4.02450065,3.813148765,63.66,11.521368
1010,Andrew Ryan,12,B,98,95,55,63,86,44,472,84.89338941,Excellent,Fail,2.664076992,4.227142409,2.842338945,2.034741799,2.226910916,41.40381341,11.00140449
1011,Terri Tran,11,A,42,59,44,57,53,41,377,66.50572061,Excellent,Fail,4.443591495,1.348414109,2.856702083,3.727240625,1.385805813,47.79378958,15.03453856
1012,Jessica Gallagher,12,B,79,46,35,59,80,70,383,54.84430681,Proficient,Fail,2.385975458,1.409975579,3.017257728,3.201440819,2.04441371,26.74523525,12.26909974
1013,Mark Martinez,12,B,84,62,60,88,74,55,384,64.33527295,Excellent,Fail,2.459823935,2.33665405,2.535421172,1.831305758,2.093921504,26.84015316,8.278979528
1014,Glen Barr,12,A,72,59,56,92,68,65,369,58.46200174,Excellent,Fail,1.688708788,4.463183255,1.667221485,4.175933718,1.183639958,29.64347294,12.48578836
1015,Theresa Long,11,B,46,69,51,37,47,72,333,68.22957049,Excellent,Pass,2.433380024,1.233580926,4.88309063,5.806606016,1.648791164,47.56137335,11.31355546
1016,Andrew Hickman,12,C,66,53,86,70,73,61,412,78.22540152,Ideal,Pass,2.492305618,3.494101864,4.083675856,4.67015164,2.725479698,50.43456681,12.37836471
1017,Rodney Owens,11,A,70,95,84,86,79,89,491,74.35844542,Proficient,Pass,1.917844636,0.92497245,2.239256663,4.503619421,3.555873654,27.41438542,12.7395173
1018,Chad Hodges,12,C,50,54,100,75,49,74,380,74.05645477,Capable,Fail,3.449304526,2.384478296,3.999023359,3.243796774,1.675269796,37.26038056,10.84917511
1019,Jeffery Wagner,12,C,46,59,91,66,88,75,419,55.69614643,Ideal,Fail,1.945320555,1.739996731,5,3.152859034,2.4489405,22.20151027,6.852710136
1020,Wayne Jackson,11,A,70,55,69,83,59,100,410,62.43780035,Proficient,Fail,2.510398841,2.459931491,3.308171091,6,0.584458709,44.86752472,7.667628462
